id;num_affaire;designation_affaire;bon_de_commande;montant;devise;date_debut;date_cloture;date_passage_execution;lieu_multiple_par_mission;montant_vente;montant_budgetaire_materiel;montant_budgetaire_service;statut;responsable_projet_id;responsable_projet_user_login;created_at;updated_at;created_by;created_by_user_login;updated_by;updated_by_user_login;societe_id;identifiant_unique;client_commande;client_id
1;67855;empowering Fresh;Tuna input;5684;Valley;2026-03-12;2026-03-11;2026-03-11;true;62090;96472;77347;ClotureProjet;indexing;calculating;2026-03-12T02:37:56;2026-03-12T08:01:43;calculate frictionless;Hat Home;navigating;HDD Hawaii;90810;JSON card Supervisor;43850;1
2;81432;Avon out-of-the-box empower;New feed;89233;program e-markets streamline;2026-03-12;2026-03-11;2026-03-12;true;9325;89837;60095;Fin;deliver;directional Club;2026-03-11T19:32:35;2026-03-11T19:44:08;Mouse;synthesize;Roads;deposit program invoice;22933;Cotton Executive;37178;2
3;76432;Austria Metal;Direct;86297;bricks-and-clicks Club Diverse;2026-03-11;2026-03-12;2026-03-11;true;46346;57664;19355;ExecutionDesTravaux;distributed benchmark;Denar;2026-03-12T07:51:06;2026-03-12T11:08:14;Global;connecting Producer;transition;Administrator connecting sensor;47641;invoice;21402;3
4;93553;Pizza array;User-friendly haptic Concrete;27682;Clothing Investment;2026-03-11;2026-03-11;2026-03-12;false;84920;28716;54725;ClotureProjet;transmitting Solutions;impactful Multi-layered;2026-03-11T18:40:22;2026-03-12T12:17:46;Cotton;Auto reboot indigo;Hawaii Identity;Product Salad;82977;blockchains;61585;4
5;90052;Buckinghamshire user-facing Plastic;parse Assistant;70759;markets;2026-03-11;2026-03-12;2026-03-12;true;88122;31493;9977;EtudeOpportunite;Tuna Reactive Granite;Forward Bacon;2026-03-11T18:17:25;2026-03-11T22:13:36;CSS visualize;hack Planner;methodical;grid-enabled;98466;robust;54808;5
6;54456;services Licensed HTTP;installation transmitter;95851;Lek Plastic;2026-03-11;2026-03-12;2026-03-12;false;96449;55704;86745;EtudeOpportunite;Practical quantifying migration;multi-state Developer;2026-03-11T19:12:25;2026-03-11T15:34:22;parsing Direct Investor;Gloves Rustic Soft;payment;invoice parallelism withdrawal;31009;override;30780;6
7;1181;asynchronous Orchestrator channels;Factors Frozen;66753;transmitting AGP Checking;2026-03-11;2026-03-12;2026-03-11;true;511;86672;4936;Fin;calculate;national Web Ball;2026-03-12T02:44:04;2026-03-12T07:55:36;transmitter;monitoring Seychelles technologies;Nigeria Baby;Dynamic Computers;40203;lime Sharable program;99393;7
8;81678;Frozen deposit;Factors conglomeration;33273;Vermont wireless GB;2026-03-12;2026-03-12;2026-03-12;true;28503;4141;43791;Brouillon;SMTP transparent;Human Refined;2026-03-11T13:14:48;2026-03-12T12:50:22;system-worthy;value-added;Kids Operations Swedish;end-to-end transmitting Road;38694;Ergonomic;44533;8
9;57064;Avon Self-enabling;fuchsia Montana;77032;Sudanese;2026-03-12;2026-03-11;2026-03-11;true;59218;18371;56928;Brouillon;SMS;unleash hub monitor;2026-03-11T21:56:18;2026-03-11T20:13:05;Tasty world-class;generate;circuit Concrete;static Ergonomic feed;99221;Bacon Bedfordshire;81472;9
10;25544;Account;International;76664;Synergized firewall;2026-03-12;2026-03-12;2026-03-11;true;72825;61280;26247;Brouillon;Borders Northern throughput;Sleek ability Awesome;2026-03-11T23:42:46;2026-03-12T02:54:07;Caledonia quantify payment;Carolina Plastic Strategist;Central;Pizza Small;59467;reboot Afghani;71082;10
