id;prefix;next_number;format;code_num_seq
1;Avon synthesize interactive;Implementation Legacy;Clothing;Rustic Persevering
2;Direct;Developer Secured;leading initiative Lanka;Fresh
3;Towels bluetooth;utilisation;generate compressing;sticky withdrawal
4;Consultant engineer Investment;plug-and-play;efficient;Groves Dollar
5;Senior Arizona Throughway;Loan Wooden;open-source;B2C Villages
6;XSS Gloves;Borders;strategy Regional Rufiyaa;Concrete India
7;synthesizing Steel;transmitting Account;Arkansas wireless;Hat SSL
8;systems 1080p;innovate Extended panel;Virginia approach;pixel Singapore Rupee
9;calculating;Specialist;up;Chips
10;deposit infomediaries;Chips Officer;PNG Lead index;Avon
