id;code;designation;unite_mesure;created_at;updated_at;created_by;created_by_user_login;updated_by;updated_by_user_login;code_client;prix_unit_ht;prix_achat;granularite
1;Buckinghamshire;Licensed;copy lavender;2026-03-12T01:55:00;2026-03-12T10:57:33;backing compress;Home visualize;International fuchsia;Fresh Pizza;Dynamic Operations;59539;29638;bifurcated
2;Legacy Trail transmitting;port Borders Mouse;maroon;2026-03-12T12:25:50;2026-03-11T16:07:12;deposit SDD Cambridgeshire;Virginia Program global;Borders Planner;Pre-emptive;Frozen;73314;93451;alarm Solutions
3;Dinar Compatible rich;Concrete;withdrawal Forward;2026-03-12T10:23:51;2026-03-12T08:01:21;responsive;Shores foreground;invoice;synergistic back Account;Sleek circuit;13882;68341;Operations
4;indexing AGP solutions;Nebraska matrix;Soft;2026-03-11T21:29:10;2026-03-12T05:53:14;Plastic Persistent;Movies leading-edge;sensor Borders;Loan;North Cotton;85174;11934;deposit
5;deposit;Grocery;Taka Syrian Bedfordshire;2026-03-12T05:27:50;2026-03-11T22:10:05;Kentucky compressing Security;black;Cotton;bricks-and-clicks Focused virtual;Money;43705;7218;Mexico Intelligent Refined
6;technologies;transmitting magnetic;Tools;2026-03-12T10:45:18;2026-03-12T10:40:41;web-readiness Up-sized Rica;transmit input;Jamaica District;Paradigm;Virginia;9890;97190;Group Card
7;Unbranded Islands;Bedfordshire Buckinghamshire human-resource;XSS;2026-03-11T13:33:14;2026-03-11T15:57:48;Baht blue;Berkshire Practical;seize synthesize;payment reinvent Avon;Cotton Innovative;17169;45537;Marshall Cambridgeshire
8;Ergonomic;auxiliary;tan reciprocal;2026-03-11T17:15:50;2026-03-11T20:35:08;Executive;Seamless compelling;Gorgeous Small Borders;compressing Customizable Frozen;Berkshire Shoes white;33899;78631;Guyana up
9;Account;next-generation Zimbabwe;efficient generate;2026-03-12T01:16:25;2026-03-12T07:32:52;deposit Qatar;transmitter;USB Security;Granite;Optimized online;41026;89707;Towels auxiliary
10;hard Practical;XML Kroon;Baby Awesome;2026-03-12T12:52:12;2026-03-11T13:35:16;Dakota;synthesize;Berkshire drive Netherlands;white Division;azure quantifying;16309;42065;interface Frozen application
