id;status;label;code;required;input_type;multiple_choice_option
1;false;primary Refined;B2B magenta;true;Integration Metal invoice;Towels intermediate Keys
2;false;Coordinator SAS;Clothing GB Synergistic;false;Auto Hat redundant;Innovative
3;false;Health COM;New;true;Shoes;reboot enhance
4;false;Minnesota Mall;quantify;false;Assurance;Dakota multi-tasking user-facing
5;true;Steel Alabama Music;Incredible Gorgeous;true;24/7;FTP core
6;true;1080p communities;Madagascar target;false;Indiana Grocery;Bike synthesizing killer
7;false;application;Grocery Malawi;false;multi-byte District;District grey encryption
8;false;Fresh Sports digital;archive Liaison;false;digital portals Glen;granular
9;false;transmit Fantastic interface;Configurable digital lime;true;Supervisor Generic;Dynamic Islands
10;true;Mexico Fields;Corporate Dakota Architect;true;Central;Cheese
