id;raison_sociale;raison_sociale_abrege;identifiant_unique;registre_commerce;code_article;adresse;code_postal;pays;telephone;fax;email;created_at;updated_at;created_by;created_by_user_login;updated_by;updated_by_user_login;matricule_fiscale
1;composite Fresh Texas;Viaduct Hat Federation;pixel generate wireless;grey Steel Buckinghamshire;technologies Handcrafted;overriding Bedfordshire;66202;frame;323-299-5858 x93858;interface USB;Scotty.Boyer@gmail.com;2026-03-12T05:54:22;2026-03-11T18:21:03;TCP District Rustic;Tactics Groves Bike;Avon;Bahamas Crossing bypassing;Versatile
2;Synergistic Egyptian Barbados;Handcrafted RAM;Planner;Home Credit;Handmade Enhanced;monitoring B2C;79779;Operations JBOD;683.896.1259 x241;Licensed disintermediate;Heather_Pagac@yahoo.com;2026-03-12T06:00:46;2026-03-12T01:54:00;Handcrafted CFP Steel;calculate microchip;Extended;quantify;Product architectures Automotive
3;compressing;Automotive matrix SQL;Pants;Licensed Granite;Principal;services;76908;Granite;923.911.8871;azure cutting-edge Bridge;Ellsworth.Lubowitz70@gmail.com;2026-03-12T00:50:06;2026-03-12T09:41:19;Glen tertiary;deposit;Mouse attitude-oriented withdrawal;green Pants;orange
4;Shoals;Account Plastic Syrian;Assistant Bacon;Rhode Markets Games;Guinea-Bissau;Quality Checking Account;10720;AGP Bedfordshire Legacy;1-654-763-9334 x3939;El;Amiya.Yundt@yahoo.com;2026-03-11T23:19:49;2026-03-12T00:46:09;Account Austria Towels;calculate;Wisconsin Bahrain Credit;SCSI program;User-centric Music
5;Zimbabwe Nebraska driver;Data Circles;vortals;Ball National;deposit embrace Tools;optimal;87340;Salad Mount;846.790.8982 x2709;Books cross-platform;Laurence_Goyette@hotmail.com;2026-03-12T02:40:16;2026-03-12T12:14:58;tan parsing;actuating;quantifying;indexing quantifying;Estates
6;feed Shilling;Forward;Health;Practical Accounts;array Pound;Handmade Direct;50007;asynchronous;1-535-375-0073 x547;USB;Elvis26@yahoo.com;2026-03-12T07:20:22;2026-03-12T09:02:36;Central silver;functionalities generating;Keyboard Parkway;Consultant;interactive
7;Designer Dynamic;Utah Legacy;scale schemas XML;Re-engineered Sheqel sensor;rich protocol Refined;Human;1438;Pizza Direct;514.856.7770;bus Iceland;Erik9@hotmail.com;2026-03-12T11:19:12;2026-03-11T17:56:36;project transmitter Falls;input Facilitator;Court Tactics monitor;Shirt interface model;blue Generic Refined
8;Practical;sky;Intelligent hour;Expressway Fantastic;facilitate pink;Palladium;97610;encryption;1-261-295-3691;lime;Ned89@hotmail.com;2026-03-12T01:35:04;2026-03-11T21:25:44;synthesize calculating Canadian;Accountability program exuding;Soft Metal Books;knowledge Research Future;Tasty out-of-the-box Shirt
9;Texas Dinar synthesize;Soft coherent;Assurance functionalities Connecticut;copying compressing;enhance Rustic paradigms;Bike;33668;impactful Associate;(722) 521-3853 x9251;firewall;Winston3@gmail.com;2026-03-12T10:29:18;2026-03-12T08:21:57;Technician;Borders invoice;array Rustic;Account Music Handmade;experiences Paradigm
10;schemas transparent;Loan;sensor connect;Chips;installation;Ports Tuna mission-critical;10991;Cross-group;1-298-353-6679;Estonia;Percival23@gmail.com;2026-03-12T08:36:03;2026-03-11T22:32:07;Product User-friendly;pink;Metal Technician;disintermediate Accountability Electronics;SSL Fields
