id;marque;type;matricule;nb_places;num_carte_grise;date_circulation;type_carburant;charge_fixe;taux_consommation;statut;created_at;updated_at;created_by;created_by_user_login;updated_by;updated_by_user_login;agence_id
1;Gorgeous;invoice programming;ROI Hills;42860;Computers Soap the;2026-03-12;Plastic SCSI;55046;37467;HorsService;2026-03-11T17:14:44;2026-03-12T00:22:26;Oklahoma recontextualize;redundant;B2B;Integration;1
2;Branding;array withdrawal global;Concrete protocol;29497;payment unleash Sharable;2026-03-11;functionalities;99701;5848;HorsService;2026-03-12T08:45:31;2026-03-12T08:07:01;sensor Courts attitude-oriented;Maryland Fresh back-end;PNG Utah Martin;Salvador Salad;2
3;olive;Nakfa Rapid Realigned;Senior New Creative;8952;modular Bahamas function;2026-03-11;Account;85231;90554;EnMaintenance;2026-03-12T04:45:00;2026-03-11T21:58:21;strategic Chips overriding;orange payment;Mountain;Auto red metrics;3
4;Checking RSS;visualize Loan killer;Soft;24538;Avon;2026-03-12;Extended Rustic;47607;76944;EnMission;2026-03-11T22:42:59;2026-03-12T06:53:00;Ferry back-end multi-byte;Lari Direct;Cheese Automotive;Generic Tasty Applications;4
5;Chief Shoes;e-business;Car;79864;portals invoice;2026-03-11;Steel;3438;73216;Disponible;2026-03-12T09:44:43;2026-03-11T17:26:04;application Guinea;aggregate Stand-alone Bacon;pixel Buckinghamshire;solutions;5
6;Applications;Shirt;Rubber black Maryland;46103;JSON;2026-03-12;black tan;19431;82480;HorsService;2026-03-12T08:17:50;2026-03-11T17:34:26;Grocery;Home;seamless empower;tangible Account;6
7;Accounts groupware;payment eyeballs Associate;Incredible Cambridgeshire;19743;Louisiana orchestrate;2026-03-12;Shirt;7440;64589;EnMission;2026-03-11T21:28:41;2026-03-12T09:03:22;Bacon;Table exuding;parse Granite seamless;Berkshire;7
8;firewall Facilitator programming;invoice;RSS;15373;Cotton pricing;2026-03-11;Fresh Turkey Maine;12974;53984;HorsService;2026-03-12T07:53:25;2026-03-12T08:04:26;National;programming compress users;States markets Concrete;Avon Island;8
9;RAM SDD Dollar;Investor Rustic Borders;vertical Hampshire Martin;54659;Mexico;2026-03-11;violet HDD;40906;49334;EnMaintenance;2026-03-12T02:19:23;2026-03-12T04:44:37;Park primary Account;Rubber Delaware;Fundamental circuit Tools;1080p Coordinator;9
10;Tactics Kroon;Intranet;contextually-based Producer;43374;Mouse invoice;2026-03-11;Berkshire;9763;40801;EnMaintenance;2026-03-11T17:03:31;2026-03-12T13:19:49;EXE;even-keeled Peso;Intelligent explicit distributed;tan Sports;10
