id;code;designation;gps_x;gps_y;created_at;updated_at;created_by;created_by_user_login;updated_by;updated_by_user_login;nodale_gpm;site_priority;type_site;region_site;zone_id;zone_nom;ville_id;client_id
1;invoice;payment THX;26510;47222;2026-03-11T20:32:05;2026-03-12T09:19:08;Accounts;quantifying initiatives Mexico;maroon Fantastic;red turquoise Account;secondary Berkshire hacking;Web;PCI;Cape up Licensed;31124;Frozen;1;1
2;Music;Toys rich users;51532;58858;2026-03-11T14:02:46;2026-03-12T01:47:25;Dynamic Borders software;Frozen Kuwait Associate;Principal Human;Developer;networks payment Jewelery;Chair project Dakota;Salad;Tuna Cheese Cambridgeshire;17920;communities;2;2
3;Shoes;Trafficway Nebraska;53970;47649;2026-03-12T03:26:07;2026-03-11T20:10:43;1080p sticky;Fish transmitting;bus Corporate;Wisconsin Seamless;Hat Frozen;copy;US;bricks-and-clicks Fish panel;35673;Applications;3;3
4;quantifying Unions Garden;Executive;73243;18314;2026-03-11T22:49:45;2026-03-12T05:38:53;grow;target Ergonomic;Djibouti;Small Account;Borders Regional Carolina;moderator;Paradigm;Cambridgeshire;37192;Lodge Garden;4;4
5;Tasty;Industrial green;79417;4396;2026-03-12T05:33:38;2026-03-11T23:51:24;blue supply-chains;Pizza;Handcrafted;Dollar Metal portals;Afghanistan Iowa back-end;Division;Stand-alone Idaho Row;West;9864;XML Iceland;5;5
6;invoice Wooden Rica;forecast Regional;33182;64663;2026-03-12T05:10:36;2026-03-11T20:50:59;Buckinghamshire red portals;Steel;compress Causeway Wells;mobile primary compressing;programming Somoni;intuitive;Handcrafted e-tailers;reboot Soft Intranet;83777;Metal Cambridgeshire;6;6
7;logistical generate International;hacking;4094;89518;2026-03-11T17:39:14;2026-03-11T23:25:51;virtual;B2B;architectures Hat;Peso Chicken Kuna;Ireland withdrawal;innovative;Metrics;Cotton;48259;next-generation;7;7
8;Shoes Architect Checking;Arizona state;97138;37289;2026-03-11T16:28:35;2026-03-12T07:29:49;transmitter projection;system core Bahrain;Designer solid;Shoes;bypassing Metical;SMTP Israel Lead;Object-based Gorgeous;Afghani deposit;74176;Ergonomic copy Account;8;8
9;withdrawal multi-byte Islands;payment Cambridgeshire;61038;19520;2026-03-12T03:52:32;2026-03-12T11:35:22;Sausages;Account Checking multi-byte;Tuna Dong Bedfordshire;Metal Account Mobility;vortals knowledge;Coordinator connecting;black 1080p Nigeria;distributed Towels Home;4613;Tuna;9;9
10;Peso synthesizing Data;Loan Bedfordshire;23401;87107;2026-03-12T05:47:33;2026-03-12T02:23:35;Handmade feed Pants;compress Administrator;impactful Keyboard indigo;Computer Global;mint;Pitcairn;matrix redefine Denmark;invoice interface;14086;plug-and-play Unbranded;10;10
